model,family,seed,sweep,min_sep,snr_db,snapshots,num_tests,num_kok,k_accuracy,rmspe_rad,rmspe_deg,mae_deg,sr5,rmspe_deg_kok,mae_deg_kok
LCPSN-uncovOFF/seed0,LCPSN-uncovOFF,0,snr,8deg,-8,200,25600,10804,0.42203125,0.1496286166246468,8.573088226973287,6.492841782465584,0.65109375,15.063860460777725,11.290864255236743
LCPSN-uncovOFF/seed1,LCPSN-uncovOFF,1,snr,8deg,-8,200,25600,10957,0.4280078125,0.1633782961612021,9.3608868340753,7.114878413463503,0.6196484375,15.84227064773947,11.987883486771935
LCPSN-uncovOFF/seed2,LCPSN-uncovOFF,2,snr,8deg,-8,200,25600,10219,0.3991796875,0.15138244787394273,8.6735753555361,6.497036126116581,0.6034375,14.404094354991384,10.764169493341553
Trans-MUSIC/seed0,Trans-MUSIC,0,snr,8deg,-6,200,25600,7196,0.28109375,0.12013614735793487,6.883294210571404,5.693592711686066,0.3900390625,7.9069254701006875,6.120763025400391
Trans-MUSIC/seed1,Trans-MUSIC,1,snr,8deg,-6,200,25600,7113,0.2778515625,0.12657037003439123,7.251948014379722,6.031766646234363,0.3584375,9.516517913358284,7.483311459358366
Trans-MUSIC/seed2,Trans-MUSIC,2,snr,8deg,-6,200,25600,6744,0.2634375,0.13775922909387,7.893022416054571,6.505112887151586,0.324375,10.84244043355532,8.450776319331426
TCN-MUSIC/seed0,TCN-MUSIC,0,snr,8deg,-6,200,25600,7328,0.28625,0.1261784653508527,7.2294935300415535,5.902261377048626,0.418828125,9.01123355550346,6.9780494957670065
TCN-MUSIC/seed1,TCN-MUSIC,1,snr,8deg,-6,200,25600,7393,0.2887890625,0.14465208935305734,8.287954217679456,6.845287744322036,0.313046875,11.615043207271894,9.103059984823165
TCN-MUSIC/seed2,TCN-MUSIC,2,snr,8deg,-6,200,25600,7302,0.285234375,0.1238171330439192,7.094199154826374,5.817299866744822,0.40578125,9.230795835870913,7.067432422519074
DA-MUSIC/seed0,DA-MUSIC,0,snr,8deg,-6,200,25600,7206,0.281484375,0.1421986069250762,8.147380029446627,6.771961761297996,0.3004296875,9.96926233694686,8.021393325012642
DA-MUSIC/seed1,DA-MUSIC,1,snr,8deg,-6,200,25600,6661,0.2601953125,0.16033479692788152,9.186507173054729,7.698812216131991,0.21234375,12.87846969979411,10.357438708440824
DA-MUSIC/seed2,DA-MUSIC,2,snr,8deg,-6,200,25600,6376,0.2490625,0.16349548087613133,9.367601023664188,7.937188649823545,0.18890625,13.647238400998193,11.146840026675669
LCPSN-uncovON/seed0,LCPSN-uncovON,0,snr,8deg,-6,200,25600,8919,0.3483984375,0.06205410190811477,3.555438140809685,2.6126691822676333,0.826875,5.956870372917549,4.125690227487794
LCPSN-uncovON/seed1,LCPSN-uncovON,1,snr,8deg,-6,200,25600,9303,0.3633984375,0.06264742390914187,3.5894329873607944,2.646558179576961,0.8275,5.861310791836755,4.090552251993335
LCPSN-uncovON/seed2,LCPSN-uncovON,2,snr,8deg,-6,200,25600,9280,0.3625,0.059840609561427206,3.4286143713599793,2.530384371281098,0.8321875,5.706389820420538,3.983761233039187
LCPSN-uncovOFF/seed0,LCPSN-uncovOFF,0,snr,8deg,-6,200,25600,15855,0.6193359375,0.09812873587194333,5.622362414416357,4.1281344872525025,0.7482421875,7.370258920776469,5.338405980706224
LCPSN-uncovOFF/seed1,LCPSN-uncovOFF,1,snr,8deg,-6,200,25600,15144,0.5915625,0.10123898337858829,5.800566469788201,4.262758353073689,0.7462109375,7.877271917320294,5.726696593425206
LCPSN-uncovOFF/seed2,LCPSN-uncovOFF,2,snr,8deg,-6,200,25600,14584,0.5696875,0.09900873604212083,5.672782710138322,4.154689981726916,0.7292578125,7.6446380912584955,5.522081048969013
Trans-MUSIC/seed0,Trans-MUSIC,0,snr,8deg,-4,200,25600,13420,0.52421875,0.0978018418607544,5.603632767227129,4.615958872482841,0.5710546875,5.840033571764298,4.663296227121176
Trans-MUSIC/seed1,Trans-MUSIC,1,snr,8deg,-4,200,25600,11936,0.46625,0.10165085452497377,5.824164948179304,4.848859684835344,0.5483984375,6.370921731401663,5.150178742496365
Trans-MUSIC/seed2,Trans-MUSIC,2,snr,8deg,-4,200,25600,10428,0.40734375,0.11191715515099535,6.4123806452628545,5.278578761382681,0.4744921875,7.4050397370861765,5.878471476040493
TCN-MUSIC/seed0,TCN-MUSIC,0,snr,8deg,-4,200,25600,13559,0.5296484375,0.12468624425719996,7.143995559274856,5.812581235500541,0.5472265625,8.726288806841259,6.924642410298506
TCN-MUSIC/seed1,TCN-MUSIC,1,snr,8deg,-4,200,25600,12975,0.5068359375,0.14109950797212303,8.084406298175162,6.606024032748035,0.4089453125,10.171734950592366,8.070320986457395
TCN-MUSIC/seed2,TCN-MUSIC,2,snr,8deg,-4,200,25600,12477,0.4873828125,0.10647455064052068,6.100542377253791,5.005621240475105,0.597421875,7.320026570355052,5.843133569606142
DA-MUSIC/seed0,DA-MUSIC,0,snr,8deg,-4,200,25600,10376,0.4053125,0.11615459928058705,6.655168309810946,5.544120652699613,0.435390625,7.757442424592209,6.327009227037433
DA-MUSIC/seed1,DA-MUSIC,1,snr,8deg,-4,200,25600,8957,0.3498828125,0.1448305358641433,8.298178449633516,6.943752228272818,0.309375,11.01073367133759,8.982163440480614
DA-MUSIC/seed2,DA-MUSIC,2,snr,8deg,-4,200,25600,8603,0.3360546875,0.14341743631620626,8.21721380950488,6.99616387161983,0.2453125,10.64148048130991,8.791975479038479
LCPSN-uncovON/seed0,LCPSN-uncovON,0,snr,8deg,-4,200,25600,17272,0.6746875,0.04997831358338404,2.8635464355092592,2.0949626376790635,0.8675390625,3.2390399456033383,2.306225842353715
LCPSN-uncovON/seed1,LCPSN-uncovON,1,snr,8deg,-4,200,25600,18363,0.7173046875,0.05134916019682221,2.942090160819068,2.1476359829692786,0.8666796875,3.2519536659371515,2.321488479698177
LCPSN-uncovON/seed2,LCPSN-uncovON,2,snr,8deg,-4,200,25600,17327,0.6768359375,0.048749759317809185,2.7931554611890257,2.050079824570356,0.8725390625,3.1491792469302826,2.250186809029226
LCPSN-uncovOFF/seed0,LCPSN-uncovOFF,0,snr,8deg,-4,200,25600,21473,0.8387890625,0.05949722506393325,3.4089398889033546,2.4469827901439896,0.8303125,3.467418265321748,2.4523739099632365
LCPSN-uncovOFF/seed1,LCPSN-uncovOFF,1,snr,8deg,-4,200,25600,21050,0.822265625,0.05844788949535996,3.3488173895311446,2.4207940994430768,0.836015625,3.4587417149767825,2.4685236052459865
LCPSN-uncovOFF/seed2,LCPSN-uncovOFF,2,snr,8deg,-4,200,25600,21068,0.82296875,0.06025616954207498,3.452424204385635,2.4886038712608145,0.82609375,3.571738349017015,2.5394745894795228
Trans-MUSIC/seed0,Trans-MUSIC,0,snr,8deg,-2,200,25600,20773,0.8114453125,0.0710262920863265,4.069506771009947,3.298982162332724,0.7412890625,3.9604578468621985,3.1863225542251628
