model,family,seed,sweep,min_sep,snr_db,snapshots,num_tests,num_kok,k_accuracy,rmspe_rad,rmspe_deg,mae_deg,sr5,rmspe_deg_kok,mae_deg_kok
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snr,8deg,-8,200,25600,13662,0.533671875,0.12299794947209002,7.04726339351411,5.454165544587056,0.67828125,7.398760157965424,5.8001341341358135
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snr,8deg,-8,200,25600,25600,1.0,0.23636199443288114,13.54254471829875,10.456354133468162,0.4666796875,13.54254471829875,10.456354133468162
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snr,8deg,-8,200,25600,14966,0.584609375,0.15168420603251254,8.69086482445579,6.702378273135753,0.6167578125,9.298897526452825,7.226317049065418
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snr,8deg,-8,200,25600,6890,0.269140625,0.20931008440160348,11.992584445738924,9.314518250930337,0.471640625,15.985415207858011,12.206392270878737
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snr,8deg,-8,200,25600,25600,1.0,0.236525833024608,13.551931978126065,10.461649347941758,0.4669140625,13.551931978126065,10.461649347941758
FP-MUSIC/mdl,FP-MUSIC/mdl,,snr,8deg,-8,200,25600,13156,0.51390625,0.08123307432145425,4.654312315491873,3.5957375493924597,0.7753515625,4.2127407389450156,3.3193918213923257
FP-MUSIC/aic,FP-MUSIC/aic,,snr,8deg,-8,200,25600,17196,0.67171875,0.12553130590461234,7.192414025099958,5.43368652452574,0.7019921875,7.090151050325616,5.414698337812162
FP-MUSIC/oracle,FP-MUSIC/oracle,,snr,8deg,-8,200,25600,25600,1.0,0.20583581641898555,11.793523553437486,8.994764083808263,0.54609375,11.793523553437488,8.994764083808263
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snr,8deg,-6,200,25600,8823,0.3446484375,0.08692785436118784,4.98059917702395,4.032327062545851,0.733359375,5.5363583404518515,4.4750504112712255
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snr,8deg,-6,200,25600,16105,0.6291015625,0.12468448218786074,7.143894600138509,5.442195956054563,0.694765625,7.097813599476712,5.484778758025341
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snr,8deg,-6,200,25600,25600,1.0,0.2175331686119331,12.463732465571479,9.55421638731425,0.5156640625,12.463732465571479,9.55421638731425
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snr,8deg,-6,200,25600,15576,0.6084375,0.16825772403358488,9.640457457601332,7.368642923976216,0.59828125,9.97474545671738,7.663839446352334
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snr,8deg,-6,200,25600,6581,0.2570703125,0.1955305442866942,11.203074953523409,8.636308497371651,0.5178125,15.30213590097731,11.545890808004117
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snr,8deg,-6,200,25600,25600,1.0,0.21780555650629388,12.479339142308808,9.572267871778793,0.515390625,12.479339142308804,9.572267871778793
FP-MUSIC/mdl,FP-MUSIC/mdl,,snr,8deg,-6,200,25600,16582,0.647734375,0.07871647922868893,4.510122037933086,3.4127714932956406,0.80953125,4.036364201720919,3.1138708898541214
FP-MUSIC/aic,FP-MUSIC/aic,,snr,8deg,-6,200,25600,18232,0.7121875,0.11831127798261604,6.778736897202959,5.081431570580866,0.7316015625,6.646308384925548,5.032668546688564
FP-MUSIC/oracle,FP-MUSIC/oracle,,snr,8deg,-6,200,25600,25600,1.0,0.18649540553917388,10.685399635975378,8.08327654389223,0.5953125,10.685399635975376,8.08327654389223
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snr,8deg,-4,200,25600,13500,0.52734375,0.07829459657529708,4.485949942443952,3.464201292319727,0.783203125,3.9646793728431526,3.1277083186050607
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snr,8deg,-4,200,25600,17356,0.67796875,0.12280975345434385,7.036480555976086,5.309698386857935,0.709453125,6.888134899765297,5.270477673810964
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snr,8deg,-4,200,25600,25600,1.0,0.2000703188503535,11.463184875961932,8.717168934673548,0.557734375,11.46318487596193,8.717168934673548
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snr,8deg,-4,200,25600,13249,0.5175390625,0.17546524214770876,10.05341782630472,7.658659908408177,0.5873828125,10.926491621193266,8.339475446423792
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snr,8deg,-4,200,25600,6438,0.251484375,0.18249379662306567,10.456124333820458,8.015973302131757,0.5565234375,14.596649414929233,10.934008273418504
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snr,8deg,-4,200,25600,25600,1.0,0.20068233404511276,11.498250763619515,8.756326563930873,0.556875,11.498250763619515,8.756326563930873
FP-MUSIC/mdl,FP-MUSIC/mdl,,snr,8deg,-4,200,25600,18266,0.713515625,0.07278435802009448,4.1702365291205785,3.108987824252559,0.839375,3.722983662582647,2.832001461425041
FP-MUSIC/aic,FP-MUSIC/aic,,snr,8deg,-4,200,25600,19079,0.7452734375,0.1077996261640218,6.1764636122864935,4.600430477957519,0.76515625,6.009347744408268,4.51485382296675
FP-MUSIC/oracle,FP-MUSIC/oracle,,snr,8deg,-4,200,25600,25600,1.0,0.16537741060926237,9.475427654712778,7.13174102530856,0.6444140625,9.475427654712778,7.13174102530856
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snr,8deg,-2,200,25600,15727,0.6143359375,0.07501098900017573,4.2978130868123126,3.2480567309161943,0.8129296875,3.657463801088982,2.8257511810624143
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snr,8deg,-2,200,25600,18019,0.7038671875,0.12068568569753534,6.914780438111137,5.179953304281234,0.7283203125,6.716923237043139,5.085342448618242
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snr,8deg,-2,200,25600,25600,1.0,0.18861847318623678,10.807042451772853,8.174915035130415,0.588203125,10.807042451772851,8.174915035130415
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snr,8deg,-2,200,25600,9466,0.369765625,0.17236213635510278,9.8756229610058,7.5140793565327355,0.5953515625,12.169288356558452,9.176675198201364
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snr,8deg,-2,200,25600,6404,0.25015625,0.1720275964953734,9.856455238964408,7.509692850257546,0.587421875,14.302665676897025,10.678242496816504
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snr,8deg,-2,200,25600,25600,1.0,0.1892528760331459,10.843391057411829,8.222451491795212,0.5869921875,10.843391057411832,8.222451491795212
FP-MUSIC/mdl,FP-MUSIC/mdl,,snr,8deg,-2,200,25600,19359,0.7562109375,0.0711281845633326,4.07534477990653,3.013031158662215,0.851484375,3.641462472568771,2.742257619205562
FP-MUSIC/aic,FP-MUSIC/aic,,snr,8deg,-2,200,25600,19903,0.7774609375,0.10095905190918109,5.784527578038272,4.282437177929223,0.7846875,5.53880781950059,4.136602876973357
FP-MUSIC/oracle,FP-MUSIC/oracle,,snr,8deg,-2,200,25600,25600,1.0,0.15103338362986996,8.653575447571805,6.480263522810876,0.678046875,8.653575447571804,6.480263522810876
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snr,8deg,0,200,25600,16976,0.663125,0.07310065793268099,4.188359179172142,3.136264375757303,0.8283203125,3.5749462431539127,2.7339503548162942
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snr,8deg,0,200,25600,18315,0.7154296875,0.11715749049972973,6.712629743978551,5.020236880766051,0.74109375,6.4567186571162685,4.867554718433381
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snr,8deg,0,200,25600,25600,1.0,0.17388770383714863,9.963031539089426,7.486835863786821,0.62,9.96303153908943,7.486835863786821
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snr,8deg,0,200,25600,7013,0.2739453125,0.16243784398722472,9.307002893672493,7.0702559951676145,0.61546875,13.598997611702988,10.181213697564798
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snr,8deg,0,200,25600,6400,0.25,0.16177794979816817,9.269193741714345,7.04429157320538,0.6141015625,14.042402981589776,10.47382944492117
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snr,8deg,0,200,25600,25600,1.0,0.17556667313051086,10.059229393531146,7.588176056743664,0.617109375,10.059229393531146,7.588176056743664
FP-MUSIC/mdl,FP-MUSIC/mdl,,snr,8deg,0,200,25600,20444,0.79859375,0.06782440436652665,3.8860521181906487,2.854419051702077,0.8633984375,3.5396083542553285,2.6394279339014663
FP-MUSIC/aic,FP-MUSIC/aic,,snr,8deg,0,200,25600,20416,0.7975,0.09186430738280287,5.263437100927094,3.8714374023724907,0.8086328125,5.069771726140584,3.7620927598366207
FP-MUSIC/oracle,FP-MUSIC/oracle,,snr,8deg,0,200,25600,25600,1.0,0.13472872918737852,7.719387561597818,5.738743976384879,0.7152734375,7.719387561597817,5.738743976384879
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snr,8deg,2,200,25600,17683,0.6907421875,0.07293368844958387,4.178792532483196,3.112004784688072,0.835546875,3.6446218315829353,2.767030194226167
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snr,8deg,2,200,25600,17989,0.7026953125,0.12211904743800472,6.99690601635556,5.22443515304254,0.733671875,6.844432617188071,5.13327631688298
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snr,8deg,2,200,25600,25600,1.0,0.16648901894016402,9.539118120545025,7.153736539500655,0.6360546875,9.539118120545025,7.153736539500655
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snr,8deg,2,200,25600,6428,0.25109375,0.15517370634895686,8.890798465197614,6.733357336103171,0.6319921875,13.536635609403744,10.062007123570575
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snr,8deg,2,200,25600,6400,0.25,0.1550820476549981,8.885546808878097,6.7298777824277325,0.63203125,13.557819250165899,10.074837475217358
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snr,8deg,2,200,25600,25600,1.0,0.16738219538188812,9.590293361016327,7.211950868119694,0.63390625,9.590293361016329,7.211950868119694
FP-MUSIC/mdl,FP-MUSIC/mdl,,snr,8deg,2,200,25600,21291,0.8316796875,0.06429615272967174,3.6838981903387378,2.685186820286754,0.8723828125,3.4320604819650975,2.535028327059383
FP-MUSIC/aic,FP-MUSIC/aic,,snr,8deg,2,200,25600,20977,0.8194140625,0.08506576457206416,4.873909291032758,3.5633153104154025,0.82375,4.782192971843391,3.520757797094235
FP-MUSIC/oracle,FP-MUSIC/oracle,,snr,8deg,2,200,25600,25600,1.0,0.1212128736273608,6.944986081500375,5.126892383381504,0.744765625,6.944986081500376,5.126892383381504
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snr,8deg,4,200,25600,18363,0.7173046875,0.07699545453295167,4.411514586429554,3.274743620624487,0.8326953125,3.9018030344426653,2.9535598868358224
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snr,8deg,4,200,25600,16119,0.6296484375,0.12437377156717112,7.126092192923104,5.334307401050417,0.731171875,7.07475391633031,5.280851566678738
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snr,8deg,4,200,25600,25600,1.0,0.15868006404830448,9.091697962833434,6.797507384709918,0.6549609375,9.091697962833436,6.797507384709918
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snr,8deg,4,200,25600,6400,0.25,0.14941286176481916,8.560726384095727,6.46724350623662,0.6496875,13.170094003409362,9.740106325593466
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snr,8deg,4,200,25600,6400,0.25,0.14933074071208455,8.556021194364861,6.463786210605406,0.6497265625,13.170094003409362,9.740106325593466
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snr,8deg,4,200,25600,25600,1.0,0.16074634736823334,9.21008727634364,6.921429275543573,0.6524609375,9.210087276343637,6.921429275543573
FP-MUSIC/mdl,FP-MUSIC/mdl,,snr,8deg,4,200,25600,21957,0.8576953125,0.06074451540143808,3.4804043610698296,2.539521702746092,0.8814453125,3.2369789721745463,2.3875741026554618
FP-MUSIC/aic,FP-MUSIC/aic,,snr,8deg,4,200,25600,21387,0.8354296875,0.07787564313423878,4.461945678458829,3.2487494976068545,0.8406640625,4.312832656882267,3.15727097375754
FP-MUSIC/oracle,FP-MUSIC/oracle,,snr,8deg,4,200,25600,25600,1.0,0.10903186167090612,6.247065506197129,4.599544929986062,0.7723828125,6.247065506197128,4.599544929986062
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snr,8deg,6,200,25600,18362,0.717265625,0.08150930525860069,4.670139182361306,3.434666011756814,0.8261328125,4.208489097802816,3.1511480475078604
